event_id,start_date,end_date,duration_days,peak_exceed_fraction,mean_exceed_fraction
1,2017-06-14,2017-06-16,3,0.9556515216827393,0.4870398938655853
2,2017-08-01,2017-08-06,6,0.9998571276664734,0.6233790516853333
