station_id,lat,lon,tmean_c
41.26443_2.02831,41.26443,2.02831,28.01609
41.26444_2.05103,41.26444,2.05103,27.869402
41.264473_2.017541,41.264473,2.017541,28.153532
41.264484_2.040262,41.264484,2.040262,27.833818
41.26451_2.006773,41.26451,2.006773,29.013391
41.264526_2.029493,41.264526,2.029493,28.016497
41.264534_2.052213,41.264534,2.052213,27.88122
41.26457_2.018725,41.26457,2.018725,28.15007
41.264576_2.041445,41.264576,2.041445,27.82485
41.264606_2.007957,41.264606,2.007957,28.972977
41.26462_2.030677,41.26462,2.030677,28.008387
41.26463_2.053397,41.26463,2.053397,27.891424
41.264664_2.019909,41.264664,2.019909,28.135752
41.26467_2.042629,41.26467,2.042629,27.815409
41.2647_2.00914,41.2647,2.00914,28.952524
41.264717_2.031861,41.264717,2.031861,27.997406
41.264725_2.054581,41.264725,2.054581,27.899757
41.264744_1.998372,41.264744,1.998372,29.41066
41.26476_2.021092,41.26476,2.021092,28.12245
41.264767_2.043813,41.264767,2.043813,27.804308
41.264797_2.010324,41.264797,2.010324,28.942032
41.264812_2.033044,41.264812,2.033044,27.97863
41.264816_2.055764,41.264816,2.055764,27.90593
41.26484_1.999556,41.26484,1.999556,29.532988
41.264854_2.022276,41.264854,2.022276,28.11297
41.264862_2.044996,41.264862,2.044996,27.803574
41.264893_2.011508,41.264893,2.011508,28.937452
41.264908_2.034228,41.264908,2.034228,27.961248
41.26491_2.056948,41.26491,2.056948,27.912699
41.264935_2.000739,41.264935,2.000739,29.107317
41.26495_2.023459,41.26495,2.023459,28.107595
41.264957_2.04618,41.264957,2.04618,27.81462
41.264988_2.012691,41.264988,2.012691,28.936361
41.265_2.035411,41.265,2.035411,27.953245
41.265007_2.058131,41.265007,2.058131,27.92222
41.26503_2.001923,41.26503,2.001923,29.170433
41.265045_2.024643,41.265045,2.024643,28.097788
41.265053_2.047363,41.265053,2.047363,27.832407
41.265083_2.013875,41.265083,2.013875,28.941248
41.265095_2.036595,41.265095,2.036595,27.940187
41.265102_2.059315,41.265102,2.059315,27.929766
41.265125_2.003106,41.265125,2.003106,29.527336
41.26514_2.025827,41.26514,2.025827,28.079313
41.26515_2.048547,41.26515,2.048547,27.846132
41.26518_2.015059,41.26518,2.015059,28.946474
41.26519_2.037779,41.26519,2.037779,27.914404
41.265198_2.060499,41.265198,2.060499,27.935463
41.26522_2.00429,41.26522,2.00429,29.46541
41.265232_2.02701,41.265232,2.02701,28.063463
41.265244_2.049731,41.265244,2.049731,27.858042
41.265274_2.016242,41.265274,2.016242,28.953253
41.265285_2.038962,41.265285,2.038962,27.89273
41.265293_2.061682,41.265293,2.061682,27.9458
41.265316_2.005474,41.265316,2.005474,29.505257
41.265327_2.028194,41.265327,2.028194,28.049852
41.26534_2.050914,41.26534,2.050914,27.87467
41.26537_2.017426,41.26537,2.017426,28.968918
41.26538_2.040146,41.26538,2.040146,27.881205
41.265385_2.062866,41.265385,2.062866,27.954842
41.26541_2.006657,41.26541,2.006657,29.422083
41.265423_2.029378,41.265423,2.029378,28.051193
41.26543_2.052098,41.26543,2.052098,27.889215
